id,mass,massupper,masslower,width,widthupper,widthlower,i,g,p,c,anti,charge,rank,status,name,quarks,latex,pythia
-23122,1600.0,30.0,30.0,200.0,50.0,50.0,0,5,-1,5,1.0,0,3.0,1.0,Lambda(1600)~,UDS,\overline{\Lambda}(1600),False
23124,1890.0,20.0,20.0,120.0,40.0,40.0,0,5,1,5,1.0,0,4.0,1.0,Lambda(1890),uds,\Lambda(1890),False
-23124,1890.0,20.0,20.0,120.0,40.0,40.0,0,5,-1,5,1.0,0,4.0,1.0,Lambda(1890)~,UDS,\overline{\Lambda}(1890),False
23126,2090.0,40.0,40.0,250.0,50.0,50.0,0,5,1,5,1.0,0,3.0,1.0,Lambda(2110),uds,\Lambda(2110),False
-23126,2090.0,40.0,40.0,250.0,50.0,50.0,0,5,-1,5,1.0,0,3.0,1.0,Lambda(2110)~,UDS,\overline{\Lambda}(2110),False
23212,1750.0,50.0,50.0,150.0,50.0,50.0,1,5,-1,5,1.0,0,3.0,1.0,Sigma(1750)0,uds,\Sigma(1750)^{0},False
-23212,1750.0,50.0,50.0,150.0,50.0,50.0,1,5,1,5,1.0,0,3.0,1.0,Sigma(1750)~0,UDS,\overline{\Sigma}(1750)^{0},False
23214,1910.0,40.0,40.0,220.0,80.0,70.0,1,5,-1,5,1.0,0,3.0,1.0,Sigma(1910)0,uds,\Sigma(1940)^{0},False
-23214,1910.0,40.0,40.0,220.0,80.0,70.0,1,5,1,5,1.0,0,3.0,1.0,Sigma(1910)~0,UDS,\overline{\Sigma}(1940)^{0},False
23222,1750.0,50.0,50.0,150.0,50.0,50.0,1,5,-1,5,1.0,1,3.0,1.0,Sigma(1750)+,uus,\Sigma(1750)^{+},False
-23222,1750.0,50.0,50.0,150.0,50.0,50.0,1,5,1,5,1.0,-1,3.0,1.0,Sigma(1750)~-,UUS,\overline{\Sigma}(1750)^{-},False
23224,1910.0,40.0,40.0,220.0,80.0,70.0,1,5,-1,5,1.0,1,3.0,1.0,Sigma(1910)+,uus,\Sigma(1940)^{+},False
-23224,1910.0,40.0,40.0,220.0,80.0,70.0,1,5,1,5,1.0,-1,3.0,1.0,Sigma(1910)~-,UUS,\overline{\Sigma}(1940)^{-},False
30113,1720.0,20.0,20.0,250.0,100.0,100.0,1,1,-1,-1,0.0,0,0.0,0.0,rho(1700)0,(uU-dD)/sqrt(2),\rho(1700)^{0},False
30213,1720.0,20.0,20.0,250.0,100.0,100.0,1,1,-1,5,2.0,1,0.0,0.0,rho(1700)+,uD,\rho(1700)^{+},False
-30213,1720.0,20.0,20.0,250.0,100.0,100.0,1,1,-1,5,2.0,-1,0.0,0.0,rho(1700)-,Ud,\rho(1700)^{-},False
30223,1670.0,30.0,30.0,315.0,35.0,35.0,0,-1,-1,-1,0.0,0,0.0,0.0,omega(1650),x(uU+dD)+y(sS),\omega(1650),False
30313,1718.0,18.0,18.0,320.0,110.0,110.0,1/2,5,-1,5,1.0,0,0.0,0.0,K*(1680)0,dS,K^{*}(1680)^{0},False
-30313,1718.0,18.0,18.0,320.0,110.0,110.0,1/2,5,-1,5,1.0,0,0.0,0.0,K*(1680)~0,Ds,\overline{K}^{*}(1680)^{0},False
30323,1718.0,18.0,18.0,320.0,110.0,110.0,1/2,5,-1,5,2.0,1,0.0,0.0,K*(1680)+,uS,K^{*}(1680)^{+},False
-30323,1718.0,18.0,18.0,320.0,110.0,110.0,1/2,5,-1,5,2.0,-1,0.0,0.0,K*(1680)-,Us,K^{*}(1680)^{-},False
30443,3773.7,0.4,0.4,27.2,1.0,1.0,0,-1,-1,-1,0.0,0,0.0,0.0,psi(3770),cC,\psi(3770),False
31114,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,1,5,1.0,-1,3.0,0.0,Delta(1600)-,ddd,\Delta(1600)^{-},False
-31114,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,-1,5,1.0,1,3.0,0.0,Delta(1600)~+,DDD,\overline{\Delta}(1600)^{+},False
31214,1720.0,30.0,40.0,250.0,150.0,100.0,1/2,5,1,5,1.0,0,4.0,1.0,N(1720)0,udd,N(1720)^{0},False
-31214,1720.0,30.0,40.0,250.0,150.0,100.0,1/2,5,-1,5,1.0,0,4.0,1.0,N(1720)~0,UDD,\overline{N}(1720)^{0},False
32112,1650.0,15.0,15.0,125.0,25.0,25.0,1/2,5,-1,5,1.0,0,4.0,1.0,N(1650)0,udd,N(1650)^{0},False
-32112,1650.0,15.0,15.0,125.0,25.0,25.0,1/2,5,1,5,1.0,0,4.0,1.0,N(1650)~0,UDD,\overline{N}(1650)^{0},False
32114,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,1,5,1.0,0,3.0,0.0,Delta(1600)0,udd,\Delta(1600)^{0},False
-32114,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,-1,5,1.0,0,3.0,0.0,Delta(1600)~0,UDD,\overline{\Delta}(1600)^{0},False
32124,1720.0,30.0,40.0,250.0,150.0,100.0,1/2,5,1,5,1.0,1,4.0,1.0,N(1720)+,uud,N(1720)^{+},False
-32124,1720.0,30.0,40.0,250.0,150.0,100.0,1/2,5,-1,5,1.0,-1,4.0,1.0,N(1720)~-,UUD,\overline{N}(1720)^{-},False
32212,1650.0,15.0,15.0,125.0,25.0,25.0,1/2,5,-1,5,1.0,1,4.0,1.0,N(1650)+,uud,N(1650)^{+},False
-32212,1650.0,15.0,15.0,125.0,25.0,25.0,1/2,5,1,5,1.0,-1,4.0,1.0,N(1650)~-,UUD,\overline{N}(1650)^{-},False
32214,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,1,5,1.0,1,3.0,0.0,Delta(1600)+,uud,\Delta(1600)^{+},False
-32214,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,-1,5,1.0,-1,3.0,0.0,Delta(1600)~-,UUD,\overline{\Delta}(1600)^{-},False
32224,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,1,5,1.0,2,3.0,0.0,Delta(1600)++,uuu,\Delta(1600)^{++},False
-32224,1570.0,70.0,70.0,250.0,50.0,50.0,3/2,5,-1,5,1.0,-2,3.0,0.0,Delta(1600)~--,UUU,\overline{\Delta}(1600)^{--},False
33122,1674.0,4.0,4.0,30.0,5.0,5.0,0,5,-1,5,1.0,0,4.0,1.0,Lambda(1670),uds,\Lambda(1670),False
-33122,1674.0,4.0,4.0,30.0,5.0,5.0,0,5,1,5,1.0,0,4.0,1.0,Lambda(1670)~,UDS,\overline{\Lambda}(1670),False
42112,1710.0,30.0,30.0,140.0,60.0,60.0,1/2,5,1,5,1.0,0,3.0,1.0,N(1710)0,udd,N(1710)^{0},False
-42112,1710.0,30.0,30.0,140.0,60.0,60.0,1/2,5,-1,5,1.0,0,3.0,1.0,N(1710)~0,UDD,\overline{N}(1710)^{0},False
42212,1710.0,30.0,30.0,140.0,60.0,60.0,1/2,5,1,5,1.0,1,3.0,1.0,N(1710)+,uud,N(1710)^{+},False
-42212,1710.0,30.0,30.0,140.0,60.0,60.0,1/2,5,-1,5,1.0,-1,3.0,1.0,N(1710)~-,UUD,\overline{N}(1710)^{-},False
43122,1800.0,50.0,50.0,200.0,50.0,50.0,0,5,-1,5,1.0,0,3.0,1.0,Lambda(1800),uds,\Lambda(1800),False
-43122,1800.0,50.0,50.0,200.0,50.0,50.0,0,5,1,5,1.0,0,3.0,1.0,Lambda(1800)~,UDS,\overline{\Lambda}(1800),False
53122,1790.0,50.0,50.0,110.0,60.0,60.0,0,5,1,5,1.0,0,3.0,1.0,Lambda(1810),uds,\Lambda(1810),False
-53122,1790.0,50.0,50.0,110.0,60.0,60.0,0,5,-1,5,1.0,0,3.0,1.0,Lambda(1810)~,UDS,\overline{\Lambda}(1810),False
100111,1300.0,100.0,100.0,400.0,200.0,200.0,1,-1,-1,1,0.0,0,0.0,0.0,pi(1300)0,(uU-dD)/sqrt(2),\pi(1300)^{0},False
100113,1465.0,25.0,25.0,400.0,60.0,60.0,1,1,-1,-1,0.0,0,0.0,0.0,rho(1450)0,(uU-dD)/sqrt(2),\rho(1450)^{0},False
100211,1300.0,100.0,100.0,400.0,200.0,200.0,1,-1,-1,5,2.0,1,0.0,0.0,pi(1300)+,uD,\pi(1300)^{+},False
-100211,1300.0,100.0,100.0,400.0,200.0,200.0,1,-1,-1,5,2.0,-1,0.0,0.0,pi(1300)-,Ud,\pi(1300)^{-},False
100213,1465.0,25.0,25.0,400.0,60.0,60.0,1,1,-1,5,2.0,1,0.0,0.0,rho(1450)+,uD,\rho(1450)^{+},False
-100213,1465.0,25.0,25.0,400.0,60.0,60.0,1,1,-1,5,2.0,-1,0.0,0.0,rho(1450)-,Ud,\rho(1450)^{-},False
100221,1294.0,4.0,4.0,55.0,5.0,5.0,0,1,-1,1,0.0,0,0.0,0.0,eta(1295),x(uU+dD)+y(sS),\eta(1295),False
100313,1414.0,15.0,15.0,232.0,21.0,21.0,1/2,5,-1,5,1.0,0,0.0,0.0,K*(1410)0,dS,K^{*}(1410)^{0},False
-100313,1414.0,15.0,15.0,232.0,21.0,21.0,1/2,5,-1,5,1.0,0,0.0,0.0,K*(1410)~0,Ds,\overline{K}^{*}(1410)^{0},False
100321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2.0,1,0.0,2.0,K(1460)+,uS,K(1460)^{+},False
-100321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2.0,-1,0.0,2.0,K(1460)-,Us,K(1460)^{-},False
100323,1414.0,15.0,15.0,232.0,21.0,21.0,1/2,5,-1,5,2.0,1,0.0,0.0,K*(1410)+,uS,K^{*}(1410)^{+},False
-100323,1414.0,15.0,15.0,232.0,21.0,21.0,1/2,5,-1,5,2.0,-1,0.0,0.0,K*(1410)-,Us,K^{*}(1410)^{-},False
100331,1475.0,4.0,4.0,90.0,9.0,9.0,0,1,-1,1,0.0,0,0.0,0.0,eta(1475),x(uU+dD)+y(sS),\eta(1475),False
100333,1680.0,20.0,20.0,150.0,50.0,50.0,0,-1,-1,-1,0.0,0,0.0,0.0,phi(1680),x(uU+dD)+y(sS),\phi(1680),False
100441,3637.5,1.1,1.1,11.3,3.2,2.9,0,1,-1,1,0.0,0,0.0,0.0,eta(c)(2S),cC,\eta_{c}(2S),False
100443,3686.1,0.06,0.06,0.294,0.008,0.008,0,-1,-1,-1,0.0,0,0.0,0.0,psi(2S),cC,\psi(2S),False
100445,3922.5,1.0,1.0,35.2,2.2,2.2,0,1,1,1,0.0,0,0.0,2.0,chi(c2)(3930),cC,\chi_{c2}(2P),False
100553,10023.26,0.31,0.31,0.032,0.0026,0.0026,0,-1,-1,-1,0.0,0,0.0,0.0,Upsilon(2S),bB,\Upsilon(2S),False
100555,10268.6,0.5,0.5,-1.0,-1.0,-1.0,0,1,1,1,0.0,0,0.0,0.0,chi(b2)(2P),bB,\chi_{b2}(2P),False
103316,1950.0,15.0,15.0,60.0,20.0,20.0,1/2,5,5,5,1.0,-1,3.0,1.0,Xi(1950)-,dss,\Xi(1950)^{-},False
-103316,1950.0,15.0,15.0,60.0,20.0,20.0,1/2,5,5,5,1.0,1,3.0,1.0,Xi(1950)~+,DSS,\overline{\Xi}(1950)^{+},False
103326,1950.0,15.0,15.0,60.0,20.0,20.0,1/2,5,5,5,1.0,0,3.0,1.0,Xi(1950)0,uss,\Xi(1950)^{0},False
-103326,1950.0,15.0,15.0,60.0,20.0,20.0,1/2,5,5,5,1.0,0,3.0,1.0,Xi(1950)~0,USS,\overline{\Xi}(1950)^{0},False
104122,2628.11,0.19,0.19,-1.0,-1.0,-1.0,0,5,-1,5,1.0,1,3.0,0.0,Lambda(c)(2625)+,udc,\Lambda_{c}(2625)^{+},False
-104122,2628.11,0.19,0.19,-1.0,-1.0,-1.0,0,5,1,5,1.0,-1,3.0,0.0,Lambda(c)(2625)~-,UDC,\overline{\Lambda}_{c}(2625)^{-},False
104312,2819.79,0.3,0.3,2.54,0.25,0.25,1/2,5,-1,5,1.0,0,3.0,0.0,Xi(c)(2815)0,dsc,\Xi_{c}(2815)^{0},False
-104312,2819.79,0.3,0.3,2.54,0.25,0.25,1/2,5,1,5,1.0,0,3.0,0.0,Xi(c)(2815)~0,DSC,\overline{\Xi}_{c}(2815)^{0},False
104314,2793.9,0.5,0.5,10.0,1.1,1.1,1/2,5,-1,5,1.0,0,3.0,0.0,Xi(c)(2790)0,dsc,\Xi_{c}(2790)^{0},False
-104314,2793.9,0.5,0.5,10.0,1.1,1.1,1/2,5,1,5,1.0,0,3.0,0.0,Xi(c)(2790)~0,DSC,\overline{\Xi}_{c}(2790)^{0},False
104322,2816.51,0.25,0.25,2.43,0.26,0.26,1/2,5,-1,5,1.0,1,3.0,0.0,Xi(c)(2815)+,usc,\Xi_{c}(2815)^{+},False
-104322,2816.51,0.25,0.25,2.43,0.26,0.26,1/2,5,1,5,1.0,-1,3.0,0.0,Xi(c)(2815)~-,USC,\overline{\Xi}_{c}(2815)^{-},False
104324,2791.9,0.5,0.5,8.9,1.0,1.0,1/2,5,-1,5,1.0,1,3.0,0.0,Xi(c)(2790)+,usc,\Xi_{c}(2790)^{+},False
-104324,2791.9,0.5,0.5,8.9,1.0,1.0,1/2,5,1,5,1.0,-1,3.0,0.0,Xi(c)(2790)~-,USC,\overline{\Xi}_{c}(2790)^{-},False
110551,10232.5,0.6,0.6,-1.0,-1.0,-1.0,0,1,1,1,0.0,0,0.0,0.0,chi(b0)(2P),bB,\chi_{b0}(2P),False
120553,10255.5,0.5,0.5,-1.0,-1.0,-1.0,0,1,1,1,0.0,0,0.0,0.0,chi(b1)(2P),bB,\chi_{b1}(2P),False
200553,10355.2,0.5,0.5,0.0203,0.0019,0.0019,0,-1,-1,-1,0.0,0,0.0,0.0,Upsilon(3S),bB,\Upsilon(3S),False
203312,1690.0,10.0,10.0,-1.0,-1.0,-1.0,1/2,5,5,5,1.0,-1,3.0,1.0,Xi(1690)-,dss,\Xi(1690)^{-},False
-203312,1690.0,10.0,10.0,-1.0,-1.0,-1.0,1/2,5,5,5,1.0,1,3.0,1.0,Xi(1690)~+,DSS,\overline{\Xi}(1690)^{+},False
203316,2025.0,5.0,5.0,20.0,15.0,5.0,1/2,5,5,5,1.0,-1,3.0,1.0,Xi(2030)-,dss,\Xi(2030)^{-},False
-203316,2025.0,5.0,5.0,20.0,15.0,5.0,1/2,5,5,5,1.0,1,3.0,1.0,Xi(2030)~+,DSS,\overline{\Xi}(2030)^{+},False
